0,BLE locators can provide high accuracy positioning as required by this project.
1,The Wi-Fi Wireless Access Points coupled with BLE locators can provide high accuracy positioning as required by the project.
2,The Wi-Fi Wireless Access Points may not be able to reliably provide the high level of accuracy required by the project.
3,The RF locators may not be able to reliably provide the high level of accuracy required by the project.
4,The DECT locators may not be able to reliably provide the high level of accuracy required by the project.
5,BLE locators can provide more than enough accuracy for this project's requirements.
6,The Wi-Fi Wireless Access Points coupled with BLE locators can provide high enough accuracy required by the project.
7,The Wi-Fi Wireless Access Points can provide high enough accuracy required by the project.
8,The RF locators may not be able to reliably provide the high level of accuracy required by the project.
9,The DECT locators will be able to provide a high enough accuracy to meet the project's accuracy requirements.
10,BLE locators can provide more than enough accuracy for this project's requirements.
11,The Wi-Fi Wireless Access Points coupled with BLE locators can provide more than enough accuracy for this project's requirements.
12,The Wi-Fi Wireless Access Points can can provide more than enough accuracy for this project's requirements.
13,The RF locators will be able to provide a high enough accuracy to meet the project's accuracy requirements.
14,The DECT locators will be able to provide a high enough accuracy to meet the project's accuracy requirements.
15,"The existing WLAN is below RTLS-grade, therefore it is generally more financially feasible to implement a separate bluetooth locator network for RTLS than to re-design the existing Wi-Fi Network to be of RTLS-grade. RTLS-grade networks require a device to see three WAPs at a minimum required criteria of signal strengths to accurately determine its location. Additionally, redesigning a WLAN is not a simple matter of installing additional WAPs, since this can cause interference issues between neighbouring WAPs."
16,"The existing WLAN is below RTLS-grade, but if there are only specific zones that are not RTLS-grade, then a small network of BLE locators can be installed to provide accurate RTLS in those areas. If majority or all the network is below RTLS-grade, this option will not be feasible."
17,"The existing WLAN is below RTLS-grade, therefore to implement a Wi-Fi based RTLS, an entirely new WLAN will have to be designed and installed which will likely be of significantly higher cost than an alternative using a different locationing technology."
18,"The existing WLAN is RTLS-grade, so despite it being possible to implement a BLE locator network, it might be more sensible to utilise the existing RTLS-grade Wi-Fi network to provide location services for the Mobile Duress System"
19,"The existing WLAN is RTLS-grade, so bluetooth beacons could be used in tandem with the existing Wireless Access Points to create more precise zones for location tracking. This would in turn further narrow down the location of a staff-member in distress, though this further level of performance may not be needed."
20,"The existing WLAN is RTLS-grade, therefore it is sensible to utilise this existing network to provide the location services throughout the facility."
21,"The existing WLAN is RTLS-grade, so despite it being possible to implement an RF network, it might be more sensible to utilise the existing RTLS-grade Wi-Fi network to provide location services for the Mobile Duress System."
22,"The existing WLAN is RTLS-grade, so despite it being possible to implement an RF network, it might be more sensible to utilise the existing RTLS-grade Wi-Fi network to provide location services for the Mobile Duress System."
